"o.sites","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT","pres.j1","pres.j2","pres.j3","observer.j1","observer.j2","observer.j3"
1,2007,4.2,1.5,-11.1,32.2,1,0,0,"tech.2","tech.4","tech.1"
2,2007,10.4,1.2,-11.1,32.2,1,0,0,"tech.1","tech.4","tech.1"
3,2007,11.5,19,-11.1,32.2,1,0,1,"tech.3","tech.3","tech.2"
4,2007,12,7.3,-11.1,32.2,0,0,0,"tech.3","tech.2","tech.3"
5,2007,9.1,1.1,-11.1,32.2,1,0,0,"tech.2","tech.4","tech.4"
6,2007,26.6,4.5,-11.1,32.2,0,0,0,"tech.1","tech.4","tech.2"
7,2007,10.3,0,-11.1,32.2,0,0,0,"tech.3","tech.4","tech.2"
8,2007,9.9,3.5,-11.1,32.2,0,0,1,"tech.2","tech.3","tech.1"
9,2007,8.7,0.3,-11.1,32.2,0,0,0,"tech.2","tech.4","tech.1"
10,2007,3.3,2.4,-11.1,32.2,0,0,0,"tech.1","tech.1","tech.3"
11,2007,2.9,2.9,-11.1,32.2,1,0,1,"tech.3","tech.4","tech.2"
12,2007,13.7,12.9,-11.1,32.2,1,0,0,"tech.2","tech.3","tech.2"
13,2007,11.5,12,-11.1,32.2,1,1,1,"tech.1","tech.3","tech.3"
14,2007,11.5,13.5,-11.1,32.2,0,0,0,"tech.2","tech.3","tech.3"
15,2007,8.8,1.3,-11.1,32.2,0,0,0,"tech.3","tech.4","tech.4"
16,2007,3,0.6,-11.1,32.2,1,0,0,"tech.4","tech.4","tech.4"
17,2007,10.3,4.2,-11.1,32.2,0,1,0,"tech.3","tech.1","tech.3"
18,2007,0.1,0,-11.1,32.2,0,0,0,"tech.4","tech.1","tech.4"
19,2007,10.6,3.5,-11.1,32.2,0,1,0,"tech.2","tech.2","tech.1"
20,2007,7.3,0.3,-11.1,32.2,0,0,0,"tech.3","tech.3","tech.2"
21,2007,10.3,3.3,-11.1,32.2,1,0,1,"tech.1","tech.4","tech.1"
22,2007,12.9,0.6,-11.1,32.2,0,0,0,"tech.1","tech.2","tech.3"
23,2007,13.3,3.7,-11.1,32.2,0,0,1,"tech.4","tech.3","tech.2"
24,2007,16.2,0.9,-11.1,32.2,0,0,0,"tech.3","tech.3","tech.4"
25,2007,17,6.6,-11.1,32.2,0,0,0,"tech.3","tech.1","tech.1"
26,2007,7.3,0.2,-11.1,32.2,0,0,0,"tech.1","tech.3","tech.3"
27,2007,11.8,0.7,-11.1,32.2,1,0,0,"tech.2","tech.4","tech.1"
28,2007,2.4,0.5,-11.1,32.2,0,0,0,"tech.2","tech.1","tech.2"
29,2007,7.1,0.3,-11.1,32.2,0,0,0,"tech.2","tech.2","tech.4"
30,2007,6.8,1.1,-11.1,32.2,0,0,1,"tech.3","tech.3","tech.4"
31,2007,16.3,7.6,-11.1,32.2,0,0,0,"tech.1","tech.4","tech.2"
32,2007,2.6,0.1,-11.1,32.2,1,0,0,"tech.1","tech.2","tech.4"
33,2007,10.8,11.9,-11.1,32.2,0,0,1,"tech.4","tech.2","tech.3"
34,2007,17,8.3,-11.1,32.2,0,0,0,"tech.2","tech.3","tech.1"
35,2007,21.9,4.1,-11.1,32.2,0,0,0,"tech.2","tech.1","tech.4"
36,2007,2.5,1.8,-11.1,32.2,0,1,1,"tech.3","tech.1","tech.1"
37,2007,6.2,0.3,-11.1,32.2,0,0,0,"tech.4","tech.2","tech.1"
38,2007,2.3,0,-11.1,32.2,0,0,1,"tech.3","tech.1","tech.1"
39,2007,4.1,0,-11.1,32.2,0,0,0,"tech.2","tech.1","tech.3"
40,2007,7.5,1.7,-11.1,32.2,1,0,0,"tech.1","tech.2","tech.1"
41,2007,11.8,7.5,-11.1,32.2,0,0,1,"tech.4","tech.3","tech.3"
42,2007,10.1,3.8,-11.1,32.2,0,1,0,"tech.4","tech.2","tech.3"
43,2007,4.5,0.6,-11.1,32.2,1,0,1,"tech.1","tech.3","tech.4"
44,2007,10,8,-11.1,32.2,1,0,0,"tech.4","tech.1","tech.4"
45,2007,1,1.8,-11.1,32.2,1,0,1,"tech.3","tech.1","tech.1"
46,2007,2.1,0.6,-11.1,32.2,0,0,1,"tech.4","tech.2","tech.2"
47,2007,16.5,0.3,-11.1,32.2,0,0,0,"tech.2","tech.4","tech.1"
48,2007,0.2,0,-11.1,32.2,0,0,0,"tech.1","tech.1","tech.1"
49,2007,16.9,11.6,-11.1,32.2,0,0,0,"tech.1","tech.3","tech.1"
50,2007,18.1,2.7,-11.1,32.2,0,0,0,"tech.4","tech.3","tech.1"
51,2007,19.9,4.7,-11.1,32.2,0,0,0,"tech.2","tech.2","tech.4"
52,2007,8.9,1.5,-11.1,32.2,0,1,0,"tech.4","tech.2","tech.4"
53,2007,14.5,4.7,-11.1,32.2,1,0,1,"tech.2","tech.4","tech.2"
54,2007,9.4,5,-11.1,32.2,0,0,0,"tech.4","tech.4","tech.3"
55,2007,0,0,-11.1,32.2,0,0,1,"tech.1","tech.2","tech.1"
56,2007,10.6,0,-11.1,32.2,0,0,1,"tech.4","tech.2","tech.2"
57,2007,7.1,1.7,-11.1,32.2,0,0,1,"tech.4","tech.2","tech.4"
58,2007,17.9,4.4,-11.1,32.2,0,0,0,"tech.4","tech.2","tech.3"
59,2007,16.5,0.5,-11.1,32.2,0,0,0,"tech.2","tech.3","tech.2"
60,2007,6.3,2,-11.1,32.2,0,1,1,"tech.1","tech.3","tech.4"
61,2007,17.2,0,-11.1,32.2,0,0,0,"tech.2","tech.4","tech.3"
62,2007,18.6,1,-11.1,32.2,0,0,0,"tech.3","tech.3","tech.1"
63,2007,23.9,5.4,-11.1,32.2,0,0,0,"tech.3","tech.4","tech.2"
64,2007,10.2,0.4,-11.1,32.2,0,0,0,"tech.4","tech.3","tech.3"
65,2007,4.9,0.2,-11.1,32.2,0,0,0,"tech.2","tech.3","tech.1"
66,2007,9.5,5.4,-11.1,32.2,0,0,0,"tech.1","tech.4","tech.2"
67,2007,12.3,4.2,-11.1,32.2,1,1,0,"tech.1","tech.2","tech.4"
68,2007,12.6,5.7,-11.1,32.2,0,1,0,"tech.2","tech.3","tech.2"
69,2007,13.5,1.7,-11.1,32.2,0,1,0,"tech.4","tech.4","tech.2"
70,2007,1.9,6.1,-11.1,32.2,0,0,0,"tech.1","tech.1","tech.1"
71,2007,5.3,3.4,-11.1,32.2,0,0,0,"tech.1","tech.3","tech.4"
72,2007,16.1,0.3,-11.1,32.2,0,0,0,"tech.3","tech.1","tech.1"
73,2007,11.9,11.4,-11.1,32.2,0,0,1,"tech.4","tech.3","tech.2"
74,2007,3.6,0,-11.1,32.2,0,1,0,"tech.4","tech.4","tech.1"
75,2007,12.3,8.7,-11.1,32.2,0,0,1,"tech.1","tech.1","tech.2"
76,2007,15,3.3,-11.1,32.2,1,0,0,"tech.4","tech.4","tech.4"
77,2007,4.8,0.3,-11.1,32.2,0,0,0,"tech.3","tech.4","tech.4"
78,2007,29.1,6.8,-11.1,32.2,0,0,0,"tech.2","tech.2","tech.2"
79,2007,14.1,16,-11.1,32.2,0,0,1,"tech.2","tech.3","tech.2"
80,2007,7.2,3.1,-11.1,32.2,0,1,1,"tech.3","tech.1","tech.2"
81,2007,7.1,0.9,-11.1,32.2,0,1,0,"tech.1","tech.2","tech.4"
82,2007,17.6,4.7,-11.1,32.2,0,0,0,"tech.3","tech.3","tech.1"
83,2007,24.1,1.8,-11.1,32.2,0,0,0,"tech.1","tech.1","tech.4"
84,2007,2.9,9,-11.1,32.2,0,0,1,"tech.1","tech.2","tech.2"
85,2007,7.4,0.1,-11.1,32.2,0,1,0,"tech.3","tech.1","tech.4"
86,2007,5,2.1,-11.1,32.2,0,0,0,"tech.3","tech.2","tech.4"
87,2007,10.1,0,-11.1,32.2,0,1,1,"tech.4","tech.1","tech.2"
88,2007,20.5,5.4,-11.1,32.2,0,0,0,"tech.3","tech.3","tech.3"
89,2007,17.7,4.5,-11.1,32.2,0,0,0,"tech.2","tech.1","tech.3"
90,2007,1.3,0,-11.1,32.2,0,0,0,"tech.4","tech.2","tech.4"
91,2007,7.3,0.8,-11.1,32.2,0,1,0,"tech.4","tech.2","tech.1"
92,2007,15.3,8.9,-11.1,32.2,0,0,0,"tech.2","tech.4","tech.4"
93,2007,9.4,3.4,-11.1,32.2,0,1,0,"tech.1","tech.1","tech.3"
94,2007,3.5,2.4,-11.1,32.2,0,0,0,"tech.4","tech.3","tech.2"
95,2007,19.5,6.9,-11.1,32.2,0,0,0,"tech.1","tech.1","tech.4"
96,2007,12.2,8.3,-11.1,32.2,0,0,0,"tech.1","tech.4","tech.2"
97,2007,13,12.9,-11.1,32.2,0,0,0,"tech.2","tech.2","tech.4"
98,2007,13.7,5.8,-11.1,32.2,0,0,1,"tech.4","tech.4","tech.1"
99,2007,16.6,1.3,-11.1,32.2,0,0,0,"tech.4","tech.2","tech.4"
100,2007,20.9,9.4,-11.1,32.2,0,0,0,"tech.2","tech.3","tech.2"
