,idno,id,SiteID,year,shrub,perennial,annual,herbaceous
1,1,ARTR1_2022,ARTR1,2022,25.38999939,20.17000008,9.069999695,29.23999977
2,2,ARTR1_2023,ARTR1,2023,26.04000092,22.54999924,9.68999958,32.23999882
3,3,POSE1_2022,POSE1,2022,7.070000172,26.51000023,12.57999992,39.09000015
4,4,POSE1_2023,POSE1,2023,7.110000134,27.70000076,20.17000008,47.87000084
5,5,SDHALP4_2022,SDHALP4,2022,7.659999847,40.72999954,13.40999985,54.13999939
6,6,SDHPLA4_2022,SDHPLA4,2022,5.659999847,25.07999992,16.75,41.82999992
7,7,SDHPLA4_2023,SDHPLA4,2023,6.489999771,28.09000015,17.60000038,45.69000053
8,8,SDHPLA5_2021,SDHPLA5,2021,3.329999924,33.02999878,29.53000069,62.55999947
9,9,SDHPLA5_2023,SDHPLA5,2023,7.289999962,28.11000061,27.35000038,55.46000099
10,10,SDHPLA6_2021,SDHPLA6,2021,0.649999976,28.52000046,29.95000076,58.47000122
11,11,SRHALP2_2022,SRHALP2,2022,23.46999931,21.60000038,11.10999966,32.71000004
12,12,SRHPLA3_2021,SRHPLA3,2021,16.34000015,25.11000061,14.85999966,39.97000027
13,13,SRHPLA4_2021,SRHPLA4,2021,20.81999969,23.03000069,11.14000034,34.17000103
14,14,SRHPLA5_2022,SRHPLA5,2022,24.93000031,20.88999939,10.53999996,31.42999935
15,15,SSHALP1_2022,SSHALP1,2022,22.26000023,24.71999931,9.510000229,34.22999954
16,16,SSHALP1_2023,SSHALP1,2023,21.55999947,30.86000061,13.21000004,44.07000065
17,17,SSHPLA3_2021,SSHPLA3,2021,20.70000076,23.09000015,10.90999985,34
18,18,SSHPLA3_2023,SSHPLA3,2023,25.56999969,22.85000038,12.14999962,35
19,19,SSHPLA4_2021,SSHPLA4,2021,16.81999969,24.87999916,12.03999996,36.91999912
20,20,SSHPLA6_2022,SSHPLA6,2022,24.35000038,20.79999924,12.02000046,32.81999969
