"o.sites","counted","marked","yearname","year","pres.j1","pres.j2","pres.j3","count.j1","count.j2","count.j3","observer.j1","observer.j2","observer.j3","time.j1","time.j2","time.j3"
1,"yes","no","yr2007",2007,1,0,0,5,3,6,"tech.2","tech.4","tech.1",185,95,315
2,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.1","tech.4","tech.1",NA,NA,NA
3,"no","no","yr2007",2007,1,0,1,NA,NA,NA,"tech.3","tech.3","tech.2",NA,NA,NA
4,"yes","no","yr2007",2007,0,0,0,3,2,4,"tech.3","tech.2","tech.3",70,270,175
5,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.2","tech.4","tech.4",NA,NA,NA
6,"yes","no","yr2007",2007,0,0,0,3,6,3,"tech.1","tech.4","tech.2",165,115,315
7,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.2",NA,NA,NA
8,"yes","yes","yr2007",2007,0,0,1,5,3,3,"tech.2","tech.3","tech.1",310,20,270
9,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.4","tech.1",NA,NA,NA
10,"yes","no","yr2007",2007,0,0,0,2,1,2,"tech.1","tech.1","tech.3",310,35,65
11,"yes","no","yr2007",2007,1,0,1,3,8,7,"tech.3","tech.4","tech.2",15,65,115
12,"yes","no","yr2007",2007,1,0,0,6,4,4,"tech.2","tech.3","tech.2",25,290,25
13,"yes","yes","yr2007",2007,1,1,1,4,7,2,"tech.1","tech.3","tech.3",25,205,220
14,"yes","yes","yr2007",2007,0,0,0,4,3,1,"tech.2","tech.3","tech.3",260,180,5
15,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.4",NA,NA,NA
16,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
17,"yes","no","yr2007",2007,0,1,0,4,2,4,"tech.3","tech.1","tech.3",225,255,185
18,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.4","tech.1","tech.4",NA,NA,NA
19,"yes","no","yr2007",2007,0,1,0,4,2,5,"tech.2","tech.2","tech.1",170,260,40
20,"yes","no","yr2007",2007,0,0,0,3,2,3,"tech.3","tech.3","tech.2",135,80,90
21,"yes","no","yr2007",2007,1,0,1,2,5,3,"tech.1","tech.4","tech.1",110,260,190
22,"yes","no","yr2007",2007,0,0,0,8,6,3,"tech.1","tech.2","tech.3",105,120,210
23,"no","no","yr2007",2007,0,0,1,NA,NA,NA,"tech.4","tech.3","tech.2",NA,NA,NA
24,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.3","tech.4",NA,NA,NA
25,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.1","tech.1",NA,NA,NA
26,"yes","no","yr2007",2007,0,0,0,5,6,7,"tech.1","tech.3","tech.3",200,135,65
