"o.sites","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT","counted","count.j1","count.j2","count.j3","observer.j1","observer.j2","observer.j3","time.j1","time.j2","time.j3"
1,2007,4.2,1.5,-11.1,32.2,"yes",5,3,6,"tech.2","tech.4","tech.1",185,95,315
4,2007,12,7.3,-11.1,32.2,"yes",3,2,4,"tech.3","tech.2","tech.3",70,270,175
6,2007,26.6,4.5,-11.1,32.2,"yes",3,6,3,"tech.1","tech.4","tech.2",165,115,315
8,2007,9.9,3.5,-11.1,32.2,"yes",5,3,3,"tech.2","tech.3","tech.1",310,20,270
10,2007,3.3,2.4,-11.1,32.2,"yes",2,1,2,"tech.1","tech.1","tech.3",310,35,65
11,2007,2.9,2.9,-11.1,32.2,"yes",3,8,7,"tech.3","tech.4","tech.2",15,65,115
12,2007,13.7,12.9,-11.1,32.2,"yes",6,4,4,"tech.2","tech.3","tech.2",25,290,25
13,2007,11.5,12,-11.1,32.2,"yes",4,7,2,"tech.1","tech.3","tech.3",25,205,220
14,2007,11.5,13.5,-11.1,32.2,"yes",4,3,1,"tech.2","tech.3","tech.3",260,180,5
17,2007,10.3,4.2,-11.1,32.2,"yes",4,2,4,"tech.3","tech.1","tech.3",225,255,185
19,2007,10.6,3.5,-11.1,32.2,"yes",4,2,5,"tech.2","tech.2","tech.1",170,260,40
20,2007,7.3,0.3,-11.1,32.2,"yes",3,2,3,"tech.3","tech.3","tech.2",135,80,90
21,2007,10.3,3.3,-11.1,32.2,"yes",2,5,3,"tech.1","tech.4","tech.1",110,260,190
22,2007,12.9,0.6,-11.1,32.2,"yes",8,6,3,"tech.1","tech.2","tech.3",105,120,210
26,2007,7.3,0.2,-11.1,32.2,"yes",5,6,7,"tech.1","tech.3","tech.3",200,135,65
30,2007,6.8,1.1,-11.1,32.2,"yes",6,8,5,"tech.3","tech.3","tech.4",190,115,300
35,2007,21.9,4.1,-11.1,32.2,"yes",4,8,5,"tech.2","tech.1","tech.4",210,265,270
37,2007,6.2,0.3,-11.1,32.2,"yes",5,5,6,"tech.4","tech.2","tech.1",115,175,70
38,2007,2.3,0,-11.1,32.2,"yes",2,3,1,"tech.3","tech.1","tech.1",100,80,95
39,2007,4.1,0,-11.1,32.2,"yes",4,7,7,"tech.2","tech.1","tech.3",320,105,230
44,2007,10,8,-11.1,32.2,"yes",2,1,0,"tech.4","tech.1","tech.4",140,260,15
45,2007,1,1.8,-11.1,32.2,"yes",4,3,3,"tech.3","tech.1","tech.1",25,275,50
46,2007,2.1,0.6,-11.1,32.2,"yes",5,7,6,"tech.4","tech.2","tech.2",170,75,195
49,2007,16.9,11.6,-11.1,32.2,"yes",8,6,4,"tech.1","tech.3","tech.1",65,195,240
50,2007,18.1,2.7,-11.1,32.2,"yes",7,10,8,"tech.4","tech.3","tech.1",120,70,210
52,2007,8.9,1.5,-11.1,32.2,"yes",4,3,2,"tech.4","tech.2","tech.4",285,125,40
55,2007,0,0,-11.1,32.2,"yes",2,3,3,"tech.1","tech.2","tech.1",40,360,75
56,2007,10.6,0,-11.1,32.2,"yes",1,4,3,"tech.4","tech.2","tech.2",355,110,160
58,2007,17.9,4.4,-11.1,32.2,"yes",3,5,6,"tech.4","tech.2","tech.3",290,160,125
60,2007,6.3,2,-11.1,32.2,"yes",3,5,3,"tech.1","tech.3","tech.4",320,75,175
62,2007,18.6,1,-11.1,32.2,"yes",7,2,7,"tech.3","tech.3","tech.1",225,245,160
65,2007,4.9,0.2,-11.1,32.2,"yes",2,5,4,"tech.2","tech.3","tech.1",250,220,230
68,2007,12.6,5.7,-11.1,32.2,"yes",5,4,5,"tech.2","tech.3","tech.2",225,340,70
69,2007,13.5,1.7,-11.1,32.2,"yes",3,3,1,"tech.4","tech.4","tech.2",120,295,310
71,2007,5.3,3.4,-11.1,32.2,"yes",3,5,5,"tech.1","tech.3","tech.4",105,195,310
75,2007,12.3,8.7,-11.1,32.2,"yes",3,3,4,"tech.1","tech.1","tech.2",40,15,115
76,2007,15,3.3,-11.1,32.2,"yes",5,3,4,"tech.4","tech.4","tech.4",220,275,240
79,2007,14.1,16,-11.1,32.2,"yes",6,5,8,"tech.2","tech.3","tech.2",205,325,275
83,2007,24.1,1.8,-11.1,32.2,"yes",2,3,2,"tech.1","tech.1","tech.4",115,170,85
84,2007,2.9,9,-11.1,32.2,"yes",4,6,6,"tech.1","tech.2","tech.2",290,225,275
86,2007,5,2.1,-11.1,32.2,"yes",3,4,2,"tech.3","tech.2","tech.4",25,110,150
88,2007,20.5,5.4,-11.1,32.2,"yes",2,3,1,"tech.3","tech.3","tech.3",110,110,165
